Data Category,Description,,,
patient_id,"Patient ID number randomly assigned to each patient prior to anonymizing the DICOM PHI tag (0010,0020)",,,
Age,"Patient age, years",,,
Sex,"Patient sex, male or female",,,
ECOG PS,"ECOG Performance status scale - assessment of patient's functional status;GRADE	ECOG PERFORMANCE STATUS
0= Fully active, able to carry on all pre-disease performance without restriction
1=Restricted in physically strenuous activity but ambulatory and able to carry out work of a light or sedentary nature, e.g., light house work, office work
2=Ambulatory and capable of all selfcare but unable to carry out any work activities; up and about more than 50% of waking hours
3=Capable of only limited selfcare; confined to bed or chair more than 50% of waking hours
4=Completely disabled; cannot carry on any selfcare; totally confined to bed or chair
5=Dead",,,
Smoking PY,Number of packs smoked in a year,,,
Smoking Status,"Smoking status at first consultation:Current smoker, ex-smoker, non-smoker",,,
Ds Site,Primary cancer site,,,
Subsite,Primary cancer subsite,,,
T,AJCC 7th edition T category ,,,
N,AJCC 7th edition N category ,,,
M ,AJCC 7th edition M category ,,,
Stage,AJCC 7th edition stage groups,,,
Path,Pathologic diagnosis/histology type,,,
HPV,Tumor HPV status determined by p16 IHC +/- HPV DNA by PCR. Blank cell indicates no data available.,,,
Tx Modality,"How the surgery, radiation, and chemotherapy are combined - see mapping terminology",,,
Chemo? ,"Yes=received concurrent chemoradiotherapy, none=did not receive concurrent chemoradiotherapy",,,
RT Start,"Date of first radiotherapy fraction, with date offset applied",,,
Dose,Total RT dose delivered during radiotherapy.,,,
Fx,Number of RT fractions delivered.,,,
Last FU,"Most recent date of contact at which clinical outcomes were updated or date of death, with date offset applied.",,,
Status,Binary indicator of vital status at last contact date. ,,,
Length FU,Duration of follow up from diagnosis to last contact date in years.,,,
Date of Death,"Date of death, with date offset applied",,,
Cause of Death,Cause of death (if applicable),,,
Local,Binary indicator of local relapse,,,
Date Local,"Date of local relapse (if applicable), with date offset applied.",,,
Regional,Binary indicator of regional relapse ,,,
Date Regional,"Date of regional relapse (if applicable), with date offset applied.",,,
Distant,Binary indicator of distant metastasis ,,,
Date Distant,"Date of distant metastasis (if applicable), with date offset applied.",,,
2nd Ca,Binary indicator of second cancer diagnosis,,,
Date 2nd Ca,"Date of second cancer diagnosis (if applicable), with date offset applied.",,,
RADCURE-challenge,"training=training subset of RADCURE-challenge, test=heldout validation set of the RADCURE-challenge, 0=not in the RADCURE-challenge",,,
ContrastEnhanced,"Imaging enhanced by contrast agent (1=enhanced, 0=regular)",,,
